date,impressions,clicks,conversions,cost,total_conversion_value,average_position,reservations,price
2015-01-01,36,16,1,27.46,1590.0,1.33055555556,4,2490.0
2015-01-02,43,12,0,14.81,0.0,1.27906976744,12,10686.0
2015-01-03,27,7,0,5.22,0.0,1.4,5,8320.0
2015-01-04,18,6,0,3.35,0.0,1.66666666667,8,8501.0
2015-01-05,43,17,0,15.39,0.0,1.09302325581,47,94318.0
2015-01-06,26,8,0,8.9,0.0,1.42692307692,19,14383.0
2015-01-07,35,12,0,11.16,0.0,1.43428571429,19,18352.0
2015-01-08,41,19,0,33.2,0.0,1.23414634146,23,38749.0
2015-01-09,44,15,0,15.76,0.0,1.21136363636,33,27317.0
2015-01-10,38,9,0,16.08,0.0,1.74473684211,10,11515.0
2015-01-11,25,10,0,18.16,0.0,1.236,5,3148.0
2015-01-12,43,14,0,11.38,0.0,1.08837209302,45,53926.0
2015-01-13,40,8,1,10.68,2250.0,1.3575,131,245251.0
2015-01-14,38,9,0,14.02,0.0,1.31578947368,41,89813.0
2015-01-15,38,14,0,17.2,0.0,1.26842105263,10,22702.0
2015-01-16,47,8,0,12.77,0.0,1.31276595745,21,20926.0
2015-01-17,33,15,0,24.68,0.0,1.48181818182,3,5250.0
2015-01-18,18,8,0,15.73,0.0,1.16666666667,3,3410.0
2015-01-19,45,15,1,28.34,9000.0,1.58,34,44294.0
2015-01-20,49,16,1,26.03,4500.0,1.28367346939,19,35713.0
2015-01-21,43,16,0,18.88,0.0,1.30930232558,47,50279.0
2015-01-22,34,13,1,17.51,2380.0,1.30882352941,22,41569.0
2015-01-23,53,19,0,25.59,0.0,1.32830188679,12,22475.0
2015-01-24,27,7,0,15.01,0.0,1.22962962963,4,5920.0
2015-01-25,29,4,0,7.75,0.0,1.49655172414,6,11642.0
2015-01-26,48,16,0,24.28,0.0,1.3625,30,43552.0
2015-01-27,49,17,0,27.24,0.0,1.31224489796,13,18532.0
2015-01-28,44,18,2,17.54,4381.0,1.29318181818,15,18632.0
2015-01-29,43,15,0,25.64,0.0,1.3511627907,16,31670.0
2015-01-30,33,8,2,7.2,2880.0,1.29393939394,12,22314.0
